tweet_id,favorite_count,retweet_count,source,source_url
832757312314028032,15823,3314,Twitter for iPhone,http://twitter.com/download/iphone
832682457690300417,11114,2663,Twitter for iPhone,http://twitter.com/download/iphone
832645525019123713,2732,484,Twitter Web Client,http://twitter.com
832636094638288896,14863,2555,Twitter for iPhone,http://twitter.com/download/iphone
832397543355072512,11218,2035,Twitter for iPhone,http://twitter.com/download/iphone
832369877331693569,16049,2914,Twitter for iPhone,http://twitter.com/download/iphone
832273440279240704,10634,2140,Twitter for iPhone,http://twitter.com/download/iphone
832215909146226688,0,5710,Twitter for iPhone,http://twitter.com/download/iphone
832215726631055365,0,8570,Twitter for iPhone,http://twitter.com/download/iphone
832088576586297345,59,2,Twitter for iPhone,http://twitter.com/download/iphone
832040443403784192,0,8804,Twitter for iPhone,http://twitter.com/download/iphone
832032802820481025,16740,4296,Twitter for iPhone,http://twitter.com/download/iphone
831939777352105988,22446,5648,Twitter for iPhone,http://twitter.com/download/iphone
831926988323639298,319,34,Twitter for iPhone,http://twitter.com/download/iphone
831911600680497154,25790,5958,Twitter for iPhone,http://twitter.com/download/iphone
831670449226514432,9773,1686,Twitter for iPhone,http://twitter.com/download/iphone
831650051525054464,6668,1783,Twitter for iPhone,http://twitter.com/download/iphone
831552930092285952,8442,2157,Twitter for iPhone,http://twitter.com/download/iphone
831322785565769729,8737,1440,Twitter for iPhone,http://twitter.com/download/iphone
831315979191906304,6162,1036,Twitter Web Client,http://twitter.com
831309418084069378,11065,2258,Twitter for iPhone,http://twitter.com/download/iphone
831262627380748289,11131,1885,Twitter for iPhone,http://twitter.com/download/iphone
830956169170665475,7498,1373,Twitter for iPhone,http://twitter.com/download/iphone
830583320585068544,62271,15377,Twitter for iPhone,http://twitter.com/download/iphone
830173239259324417,0,5226,Twitter for iPhone,http://twitter.com/download/iphone
830097400375152640,9138,2688,Twitter for iPhone,http://twitter.com/download/iphone
829878982036299777,0,4590,Twitter for iPhone,http://twitter.com/download/iphone
829861396166877184,11497,1790,Twitter for iPhone,http://twitter.com/download/iphone
829501995190984704,29825,9745,Twitter for iPhone,http://twitter.com/download/iphone
829449946868879360,9852,1856,Twitter for iPhone,http://twitter.com/download/iphone
829141528400556032,22863,6749,Twitter for iPhone,http://twitter.com/download/iphone
829011960981237760,50163,15061,Twitter for iPhone,http://twitter.com/download/iphone
